fips,state,densityMi,pop2022,pop2021,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,prisonPop2020,prisonPop2019,prisonPop2020Male,prisonPop2019Male,prisonPop2020Female,prisonPop2019Female,prisonPopChange,prisonPopChangePerc,prisonPopChangeMale,prisonPopChangePercMale,prisonPopChangeFemale,prisonPopChangePercFemale
41,Oregon,44.98992,4318492,4277874,4237256,4196636,3831074,0.00949,40618,0.12723,12753,14961,11834,13740,919,1221,-2208,-0.147583718,-1906,-0.138719068,-302,-0.247338247
32,Nevada,29.01619,3185426,3145020,3104614,3064205,2700551,0.01285,40406,0.17955,11422,12840,10451,11601,971,1239,-1418,-0.110436137,-1150,-0.099129385,-268,-0.216303471
9,Connecticut,746.03759,3612314,3609129,3605944,3602762,3574097,0.00088,3185,0.01069,9559,12823,9020,11882,539,941,-3264,-0.254542619,-2862,-0.240868541,-402,-0.427205101
20,Kansas,36.14076,2954832,2946356,2937880,2929402,2853118,0.00288,8476,0.03565,8779,10177,8019,9267,760,910,-1398,-0.137368576,-1248,-0.134671415,-150,-0.164835165
19,Iowa,57.63236,3219171,3204770,3190369,3175964,3046355,0.00449,14401,0.05673,8307,9282,7616,8443,691,839,-975,-0.105042017,-827,-0.097950965,-148,-0.176400477
16,Idaho,22.91071,1893410,1866258,1839106,1811950,1567582,0.01455,27152,0.20785,8171,9437,7094,8117,1077,1320,-1266,-0.134152803,-1023,-0.126031785,-243,-0.184090909
27,Minnesota,72.67645,5787008,5746751,5706494,5666238,5303925,0.00701,40257,0.09108,8148,9982,7683,9317,465,665,-1834,-0.183730715,-1634,-0.175378341,-200,-0.30075188
25,Massachusetts,913.63782,7126375,7078146,7029917,6981690,6547629,0.00681,48229,0.08839,6762,8205,6564,7904,198,301,-1443,-0.175868373,-1340,-0.169534413,-103,-0.342192691
54,West Virginia,74.1268,1781860,1787788,1793716,1799642,1852994,-0.00332,-5928,-0.03839,6044,6800,5393,5979,651,821,-756,-0.111176471,-586,-0.098009701,-170,-0.207064555
35,New Mexico,17.55338,2129190,2123356,2117522,2111685,2059179,0.00275,5834,0.034,5500,6723,4955,6046,545,677,-1223,-0.181912837,-1091,-0.180449884,-132,-0.194977843
49,Utah,41.05102,3373162,3322389,3271616,3220842,2763885,0.01528,50773,0.22044,5446,6671,5073,6089,373,582,-1225,-0.18363064,-1016,-0.166858269,-209,-0.359106529
31,Nebraska,25.88431,1988536,1975020,1961504,1947985,1826341,0.00684,13516,0.08881,5306,5682,4927,5254,379,428,-376,-0.066173882,-327,-0.062238295,-49,-0.114485981
10,Delaware,517.36788,1008350,999149,989948,980743,897934,0.00921,9201,0.12297,4710,5692,4486,5313,224,379,-982,-0.172522839,-827,-0.155655938,-155,-0.408970976
2,Alaska,1.29332,738023,735707,733391,731075,710231,0.00315,2316,0.03913,4578,4475,4159,4049,419,426,103,0.02301676,110,0.027167202,-7,-0.016431925
15,Hawaii,229.52904,1474265,1464768,1455271,1445774,1360301,0.00648,9497,0.08378,4171,5279,3744,4523,427,756,-1108,-0.209888236,-779,-0.17223082,-329,-0.435185185
30,Montana,7.57964,1103187,1093706,1084225,1074744,989415,0.00867,9481,0.11499,3927,4723,3457,4175,470,548,-796,-0.168536947,-718,-0.171976048,-78,-0.142335766
46,South Dakota,11.887,901165,893916,886667,879421,814180,0.00811,7249,0.10684,3250,3801,2822,3239,428,562,-551,-0.144961852,-417,-0.128743439,-134,-0.238434164
33,New Hampshire,155.22629,1389741,1383635,1377529,1371424,1316470,0.00441,6106,0.05566,2352,2691,2168,2463,184,228,-339,-0.125975474,-295,-0.119772635,-44,-0.192982456
44,Rhode Island,1069.96228,1106341,1101860,1097379,1092896,1052567,0.00407,4481,0.05109,2227,2740,2138,2583,89,157,-513,-0.187226277,-445,-0.172280294,-68,-0.433121019
56,Wyoming,5.96845,579495,578173,576851,575524,563626,0.00229,1322,0.02816,2087,2479,1826,2142,261,337,-392,-0.158128278,-316,-0.147525677,-76,-0.225519288
23,Maine,44.39124,1369159,1365759,1362359,1358961,1328361,0.00249,3400,0.03071,1714,2185,1586,2000,128,185,-471,-0.215560641,-414,-0.207,-57,-0.308108108
38,North Dakota,11.59974,800394,789744,779094,768441,672591,0.01349,10650,0.19002,1401,1794,1239,1585,162,209,-393,-0.219063545,-346,-0.21829653,-47,-0.224880383
50,Vermont,70.14701,646545,644811,643077,641347,625741,0.00269,1734,0.03325,1284,1608,1200,1484,84,124,-324,-0.201492537,-284,-0.191374663,-40,-0.322580645
